CustomerID,Age,Gender,MaritalStatus,NumDependents,EducationLevel,EmploymentStatus,AnnualIncome,CreditScore,AccountAgeMonths,NumProducts,HasCreditCard,HasCheckingAccount,HasSavingsAccount,HasLoan,HasMortgage,AccountBalance,CreditLimit,MonthlyTransactions,AvgTransactionAmount,MonthlyAccountSpending,ATMUsageFrequency,OnlineBankingUsage,MobileAppUsage,ComplaintsFiledLastYear,ComplaintsResolved,ServiceCallsLastMonth,CreditUtilizationRatio,DaysWithoutActivity,Churn
2774,41,Male,Single,3,Bachelor,Unemployed,122654,508,114,2,1,1,1,0,0,200831,17003,59,1521,17355,13,14,4,4,1,0,0.6615427259165517,130,1
2736,24,Female,Single,3,Bachelor,Self-Employed,133521,633,112,4,0,1,0,0,0,488910,15484,30,2183,16317,9,6,6,1,3,1,0.09142810039987981,124,0
2188,78,Female,Married,3,High School,Retired,197804,711,46,2,1,1,1,0,1,310754,20378,15,957,15787,13,4,17,1,4,2,0.27419446336829145,63,0
1104,31,Male,Married,2,High School,Unemployed,63209,677,77,5,1,1,1,0,1,414526,9190,77,2579,15405,9,21,19,2,3,0,0.23706947011035762,61,0
2425,57,Female,Divorced,2,Doctorate,Employed,34439,431,17,1,0,1,1,1,0,441554,13097,25,366,14623,2,0,1,1,3,2,0.5128934583261785,104,1
1250,25,Male,Married,2,Doctorate,Self-Employed,110410,647,105,4,0,1,1,0,0,106691,4904,15,2812,938,15,29,19,2,4,2,0.9038035161692177,101,1
1911,38,Male,Widowed,0,Bachelor,Unemployed,132713,376,94,5,1,1,1,0,0,427531,15722,82,4431,12525,4,4,17,3,4,1,0.1378066697869338,21,1
1965,34,Male,Married,2,Master,Self-Employed,143791,325,79,5,0,1,0,0,0,266550,46542,42,4587,1731,5,13,5,1,0,2,0.6309890468807041,107,1
1135,26,Male,Married,3,High School,Unemployed,45761,592,20,2,1,1,1,0,0,393300,44266,97,1644,10923,7,24,2,3,2,1,0.6922139259271843,77,0
1240,74,Male,Married,3,Master,Self-Employed,76235,753,86,2,1,1,1,1,1,463072,4533,22,4182,12626,13,14,6,3,3,1,0.7943256182705891,5,0
2332,43,Female,Widowed,3,Master,Unemployed,103509,341,49,2,1,1,1,0,0,327324,28033,30,3652,15431,7,3,9,1,3,2,0.18600623293351204,59,0
1416,21,Male,Divorced,0,Bachelor,Unemployed,90658,478,38,4,1,1,1,0,0,413924,35215,5,1807,19506,10,21,6,2,1,0,0.8301664596598446,56,0
2626,34,Female,Widowed,4,Doctorate,Self-Employed,181063,674,92,1,1,1,1,0,0,315883,31743,40,2948,19267,19,26,5,0,0,0,0.4682569474081265,74,0
1672,49,Female,Single,2,Master,Self-Employed,133759,353,25,2,1,1,1,0,0,407623,9418,19,3786,11714,5,25,1,4,3,2,0.07281199212486089,125,1
1538,68,Female,Divorced,4,Bachelor,Self-Employed,179869,776,55,3,0,1,0,0,0,108985,38959,1,1461,14350,0,27,10,4,2,0,0.5921308513442985,42,0
1072,19,Female,Married,0,Bachelor,Self-Employed,147880,552,109,5,1,1,1,1,0,179065,47922,87,2932,6141,5,15,6,0,0,0,0.4750090025722964,139,0
1549,75,Male,Single,1,Master,Self-Employed,163748,632,23,5,0,1,1,1,0,228237,21522,84,4858,6384,17,12,3,4,1,0,0.2778591650699819,99,1
2362,19,Male,Divorced,3,Master,Retired,155174,769,10,2,0,1,1,1,0,206928,24728,36,721,19432,5,3,16,4,4,2,0.3827104278762671,95,1
1295,79,Female,Single,1,Doctorate,Retired,54959,849,53,2,1,1,0,1,0,2770,1310,97,2944,811,18,13,19,2,0,1,0.4520537425759178,106,1
2329,61,Male,Widowed,0,Doctorate,Employed,173329,405,110,3,1,1,1,0,0,332737,10168,52,1590,12612,15,18,18,1,4,1,0.15031606912299722,168,1
1414,53,Male,Married,3,Doctorate,Self-Employed,192074,624,87,3,0,1,1,1,0,173548,30641,14,1689,2780,8,22,1,0,1,0,0.08722159275041175,60,0
1878,62,Male,Divorced,1,Bachelor,Self-Employed,196443,650,55,1,0,1,0,0,1,264065,15734,75,102,1511,19,28,1,4,2,0,0.3112051739242816,133,1
1787,29,Male,Widowed,0,Doctorate,Unemployed,161519,345,26,1,0,1,1,0,1,189448,13378,40,2671,10464,9,12,12,0,4,0,0.630713670121113,103,1
1917,54,Female,Divorced,4,Doctorate,Self-Employed,139967,675,76,4,1,1,1,0,0,233033,32448,44,1877,4095,6,26,14,0,2,2,0.6454574173167522,156,0
1946,41,Female,Single,3,High School,Retired,21359,568,111,2,0,1,0,0,0,21249,30097,54,2440,17038,0,24,16,2,4,1,0.05587074009237292,81,0
1111,77,Female,Divorced,0,High School,Self-Employed,157921,846,24,4,1,1,1,0,0,277136,7610,72,2049,5960,2,27,3,1,0,2,0.8454122082948506,44,0
1564,54,Male,Married,4,Doctorate,Unemployed,73517,343,99,3,0,1,1,0,0,456076,24661,27,720,3133,8,19,5,4,1,2,0.3801361228269988,4,1
1198,78,Female,Single,2,Bachelor,Self-Employed,133096,786,116,5,1,1,1,0,0,129196,49975,65,1068,18945,18,29,0,2,2,1,0.4491411560497186,72,0
1712,19,Male,Divorced,0,Master,Unemployed,92914,523,14,2,1,1,1,0,0,311302,27429,1,4739,16023,16,7,18,1,3,2,0.3863653710564966,170,0
2135,48,Male,Single,1,Bachelor,Employed,191963,346,9,3,1,1,1,1,0,455991,38755,58,4165,17355,17,16,17,3,0,2,0.1934210128335503,74,1
2129,68,Male,Married,2,Bachelor,Self-Employed,195430,333,58,3,0,1,1,0,0,75506,3764,39,1159,11419,1,1,5,2,3,0,0.93429689903713,172,1
1448,50,Male,Widowed,4,Master,Self-Employed,70762,662,6,2,0,0,1,1,1,470609,3346,28,1294,5721,18,15,10,4,2,1,0.3715134033474893,39,0
1341,50,Female,Married,0,High School,Unemployed,46425,718,104,2,1,1,1,1,0,308077,36159,40,3394,7051,5,16,6,0,1,1,0.06116934938844887,77,0
2805,40,Female,Married,0,Master,Unemployed,135248,533,66,4,0,0,1,1,1,396274,26334,36,3167,12592,11,22,1,2,0,2,0.4240501351641408,103,0
1483,38,Male,Divorced,4,Doctorate,Unemployed,189446,778,106,4,1,1,1,0,0,494071,28637,83,4071,10752,18,25,9,1,1,2,0.7230637335531866,170,0
2590,69,Female,Single,1,Doctorate,Retired,126520,643,7,5,1,1,1,1,1,44758,3545,81,3578,8306,1,21,15,3,2,1,0.127733281926954,45,1
1419,38,Female,Married,1,High School,Self-Employed,147571,848,33,5,1,1,1,0,0,289765,2951,4,2575,18806,2,28,19,4,1,1,0.682956055963137,6,0
1985,27,Female,Married,1,Master,Retired,191210,333,85,2,1,1,1,0,0,107396,35770,54,1274,17856,19,12,17,1,3,1,0.6882358785978919,84,0
2311,21,Female,Married,4,High School,Self-Employed,62722,428,55,3,1,1,1,0,0,284155,24018,10,522,13604,7,15,18,2,3,1,0.38031311043552884,112,1
1706,61,Female,Single,0,High School,Self-Employed,38263,608,15,1,1,1,1,0,1,149803,34179,44,1859,19663,3,13,8,3,2,2,0.48851793283529865,85,0
1896,77,Female,Widowed,4,Bachelor,Self-Employed,167702,500,81,3,0,1,1,0,0,147964,37760,76,1343,12634,8,3,15,3,0,0,0.43628594481032157,75,0
1094,21,Male,Single,2,Bachelor,Employed,96349,516,43,1,1,1,1,0,0,132424,3834,38,4118,7847,10,6,5,1,3,2,0.0034979563683013026,167,1
2926,78,Female,Widowed,4,Bachelor,Unemployed,39476,504,70,5,1,1,0,1,0,387344,24572,98,4504,8558,1,29,18,2,4,0,0.45794533477435484,174,0
1353,48,Male,Divorced,2,Master,Retired,192030,454,104,2,1,1,1,0,0,316202,41837,71,2279,12420,11,19,11,1,1,0,0.3863092341154034,5,0
1913,71,Female,Divorced,4,Master,Self-Employed,56382,711,107,3,1,1,1,0,0,34844,7028,62,3726,17939,13,13,9,4,1,0,0.6836424304861594,87,0
1365,66,Male,Single,1,Master,Employed,113293,602,18,4,1,1,1,0,0,197449,23114,37,1469,3647,12,9,12,0,2,0,0.5053676828203663,15,0
2739,38,Female,Widowed,2,Master,Retired,22670,498,49,3,1,1,1,0,1,326735,15101,24,2527,12824,8,4,3,0,4,0,0.6139874071316246,114,1
1425,20,Female,Widowed,0,Master,Employed,151632,832,3,5,1,1,0,1,0,81757,33641,35,1496,10879,12,26,19,0,0,0,0.5006510401618275,82,0
2065,61,Male,Married,0,Master,Self-Employed,57251,729,41,2,1,1,1,0,0,51305,33547,77,76,7458,16,26,9,3,3,0,0.3792835304483114,87,1
1202,54,Male,Married,0,Bachelor,Employed,150993,371,13,4,0,0,1,0,1,155196,1580,74,3990,6709,3,16,10,0,2,1,0.5277678918108474,66,0
1252,26,Male,Single,2,High School,Employed,161203,734,64,5,0,0,1,0,1,414061,12973,98,4732,6178,10,13,16,1,0,2,0.3617518567334671,170,0
1979,35,Female,Widowed,1,Doctorate,Retired,186866,564,15,1,0,1,1,0,0,101815,9990,41,4059,10097,12,6,4,3,3,1,0.1917303367421075,68,1
2564,54,Male,Married,4,Master,Retired,185723,433,37,2,1,1,0,1,0,467592,30810,85,4812,2687,6,27,16,1,3,0,0.5993189696161291,142,1
2742,78,Female,Single,3,Bachelor,Employed,123565,541,23,5,1,0,1,0,1,476391,43701,54,3491,16611,0,12,18,1,1,1,0.9022695826245776,141,0
1160,50,Male,Widowed,1,Doctorate,Employed,169457,633,80,4,1,1,1,1,1,351733,27254,38,2673,6646,11,23,3,1,4,1,0.039535593154691795,57,0
2983,48,Female,Divorced,4,High School,Self-Employed,131860,334,95,3,1,1,1,0,0,296826,6196,11,521,10737,6,0,4,4,0,1,0.7319445357122386,165,1
2048,49,Male,Widowed,3,Doctorate,Self-Employed,75479,361,27,1,1,1,1,0,0,300239,26871,30,2795,12961,19,26,0,1,2,2,0.9919798242861678,3,0
2274,76,Female,Single,3,Master,Self-Employed,192864,593,40,3,1,0,1,1,0,348358,37922,81,3063,5947,19,13,19,0,4,2,0.9575956159300173,131,0
1670,36,Female,Divorced,3,Doctorate,Unemployed,89409,583,78,4,1,1,1,1,0,243933,7219,19,227,18159,14,14,2,4,2,1,0.04488030508974561,166,1
2836,74,Male,Widowed,0,Master,Employed,89506,802,28,4,1,1,0,0,0,464939,49287,79,1536,4079,8,0,13,1,0,1,0.2657483575030042,27,0
2582,26,Female,Married,2,High School,Self-Employed,38402,308,96,1,1,1,0,0,1,100584,25191,20,2249,18480,3,28,4,0,2,1,0.00932550597489068,83,0
1486,50,Male,Single,3,High School,Employed,41274,706,9,4,1,1,1,1,1,134528,24538,86,1694,1338,2,14,6,2,0,2,0.9469556966799977,88,0
1084,34,Male,Divorced,1,High School,Retired,180381,846,38,2,0,1,0,0,0,42369,49005,98,3737,10570,8,26,6,0,1,2,0.7373219894423212,141,1
2949,35,Male,Widowed,4,High School,Retired,156817,579,59,3,1,1,1,0,0,234452,48689,43,1389,15116,11,29,6,3,3,1,0.7976039294333856,104,1
1683,66,Male,Single,4,Doctorate,Unemployed,122591,704,7,1,1,1,0,1,1,338447,44631,65,886,8634,15,3,1,3,4,1,0.20046711442148502,64,0
2186,60,Female,Married,4,Master,Retired,57271,334,82,4,1,1,0,0,0,195219,33151,36,899,5886,9,23,17,3,4,1,0.2664988967059386,126,1
2848,19,Female,Single,4,Bachelor,Retired,56787,380,40,5,1,1,1,0,0,465326,37479,10,1309,12386,0,29,3,4,4,2,0.36825163219947576,13,1
2271,51,Male,Married,0,Doctorate,Self-Employed,76911,828,84,2,0,1,1,0,0,443909,28601,92,961,646,1,5,8,0,3,1,0.09616170363092191,92,0
2059,20,Female,Married,1,High School,Self-Employed,69752,437,95,5,0,1,1,0,0,278828,34473,97,1764,7203,5,24,2,0,1,1,0.6826893790961647,41,0
1942,33,Female,Single,4,Master,Self-Employed,51533,368,54,1,0,1,1,0,0,115864,5433,24,4760,2662,17,5,13,0,1,0,0.6577381307740698,98,1
2834,29,Female,Widowed,0,Bachelor,Unemployed,195793,568,52,3,1,1,1,1,0,60120,9111,71,3972,8624,12,29,17,3,2,0,0.5015470739436155,23,1
2614,41,Male,Single,3,Master,Unemployed,24023,757,79,4,1,1,0,0,1,497506,16373,6,4276,4424,7,14,11,4,0,0,0.2565635195616206,167,1
1020,20,Female,Married,2,Doctorate,Employed,197612,564,27,5,0,1,1,0,0,78399,37022,24,3417,943,5,13,7,4,1,1,0.44376330150937593,172,1
2561,40,Female,Married,3,Bachelor,Unemployed,153964,309,21,1,0,1,1,1,0,494194,7768,27,4658,15331,3,21,3,0,1,0,0.04159606938712079,108,1
2808,23,Male,Divorced,2,Bachelor,Unemployed,20296,356,115,5,1,1,1,1,0,387804,12635,32,499,8404,1,9,18,2,3,2,0.28994291686393403,34,0
1540,32,Female,Married,2,Doctorate,Employed,152797,427,26,4,1,1,1,1,0,309830,13804,97,4217,18482,1,13,5,3,3,2,0.4429047514182787,158,1
2689,45,Female,Widowed,1,Doctorate,Unemployed,107212,672,71,5,0,1,1,1,0,213765,13412,82,3877,15188,9,17,0,2,0,0,0.06166913261471774,59,0
1178,20,Male,Divorced,4,High School,Unemployed,197216,336,80,2,1,1,0,1,0,405520,13875,74,2846,14548,5,15,15,0,1,0,0.4497051448836772,86,0
2559,39,Male,Widowed,3,Master,Unemployed,113608,508,19,4,0,1,1,0,0,69201,17951,16,2598,13841,7,27,9,4,0,0,0.7053830550004982,106,1
1035,78,Female,Married,4,Master,Unemployed,33877,388,81,5,1,1,1,1,0,234395,12877,52,1780,5504,5,9,11,0,4,0,0.05544404023192506,85,0
2800,43,Female,Married,0,Master,Employed,134426,451,74,4,1,1,1,1,0,269941,6760,12,3850,4274,0,12,17,4,0,1,0.435366932987857,55,1
2885,69,Male,Divorced,0,Doctorate,Self-Employed,132105,440,10,1,1,1,0,0,0,443598,16843,37,4341,11081,11,25,12,2,1,0,0.3790825213338287,171,1
2267,54,Male,Widowed,1,Bachelor,Retired,99360,581,7,2,0,1,0,0,1,470378,48496,48,4219,18684,17,5,8,0,0,2,0.2610005690799082,70,0
2872,64,Male,Divorced,4,High School,Employed,112307,587,83,1,1,1,1,0,0,434409,11057,27,4753,11215,1,13,9,4,3,1,0.7701912971125406,29,0
1028,19,Female,Single,2,Master,Self-Employed,133226,412,44,5,0,1,1,0,0,498389,33952,92,4543,14765,5,22,16,1,0,2,0.5138617118500514,97,1
1293,18,Female,Divorced,0,High School,Unemployed,126305,829,39,1,1,1,0,0,0,295812,21973,52,4464,12994,18,18,15,1,2,2,0.6847814818023757,29,0
1253,79,Female,Divorced,1,Master,Employed,86324,520,71,5,0,1,1,0,0,477902,47976,61,3249,3837,13,15,17,1,4,0,0.1539905463143355,46,0
2394,52,Female,Divorced,4,Doctorate,Retired,53617,673,97,5,1,1,1,0,1,206141,3024,86,4744,4221,12,21,19,0,3,2,0.14319873792536397,144,0
2293,48,Female,Divorced,0,High School,Retired,65802,602,18,3,0,1,1,0,1,92526,30028,60,1515,8016,2,3,0,0,0,1,0.3113931808175153,45,0
1474,66,Male,Married,2,High School,Retired,41605,448,13,2,1,1,1,0,0,379392,31114,3,2554,11280,11,17,11,1,4,1,0.42547153301003693,47,0
